"initiative_id","spot_counts","active_spots","station_list","ordered_impressions","delivered_impressions"
"55e3cd1b-b14f-4e32-8bcc-06c6d3d2121e",833,833,"KOGO-AM, KGB-FM, KIOZ-FM, KGB-AM, KMYI-FM, XHRM-FM, KSSX-FM, KHTS-FM",145165393,145165393
"6857fa43-641c-4236-aad8-664c6f151a6c",280,280,"WNRQ-FM, WRVW-FM, WSIX-FM",23848564,23848564
"7d071b14-8575-4aab-974a-f3aa9fafedf0",1919,1919,"WXXL-FM, WTKS-FM, WTKS-F2, WRUM-FM, WJRR-FM, WMGF-FM, WOEX-FM, WRSO-AM, WFLF-AM, WYGM-AM",304034247,304034247
"9dc31055-dee1-424c-8a3d-af3f19c8d652",988,988,"WWSW-FM, WXDX-FM, WPGB-FM, WDVE-FM",94556629,94556629
b77a9851-ad93-476e-adc2-d15e3b001735,415,415,"KRBB-FM, KTHR-FM, KFDI-FM, KZCH-FM, KZSN-FM",23065852,23065852
dbc32a07-82e0-40fc-9eef-a79f0b046b7e,201,201,"WWFG-FM, WNCL-AM",3710308.0,3710308.0
f0c41763-de52-4f22-bfdc-100852ea4353,458,458,"KRBB-FM, KFDI-FM, KZSN-FM, WIOD-AM, WTKS-FM, WBGG-FM, WFLA-AM, WRBQ-FM, WPBB-FM, WBTP-FM, WDBO-AM",41485320,41485320
"0840aa07-3a6d-467a-b64d-eb81cb15c231",1133,1133,"WFSY-FM, WFLF-FM, WPAP-FM, WEBZ-FM, WPAP-F2",12433062,12433062
"0d36cab0-ac6c-4319-b84f-ffd3da7591c3",273,273,WHYI-FM,448484627,448484627
"113c4b9b-f375-4faf-9ad0-83ce40c91cf5",892,892,"WKCY-AM, WAZR-FM, WKDW-AM, WSVO-FM, WACL-FM, WKCY-FM",7598310.0,7598310.0
"15445c89-5de6-4382-bd41-9734e8b25b2a",1513,1513,"KZZP-FM, KSLX-FM, KUPD-FM, KFYI-AM, KNIX-FM, KGME-AM, KESZ-FM, KMXP-FM, KQMR-FM, KDKB-FM",169324433,169324433
"47869811-a66f-4ec4-8cfe-29492a519d47",1105,1105,"WIWF-FM, WSCC-FM, WRFQ-FM, WEZL-FM, WXLY-FM, WSSX-FM, WMGL-FM, WWWZ-FM",63554985,63554985
"6e4594d0-54f7-4d3e-953a-515220c4785e",638,638,"KZCH-FM, KZSN-FM, KRBB-FM, KTHR-FM",24938290,24938290
aa28c127-b2b7-4b12-a505-2e360fb2e04b,202,202,"WODC-FM, WCOL-FM",15856937,15856937
d4944006-1862-49a9-a752-b833bb16c020,200,200,"WLIT-FM, WKSC-FM, WCHI-FM, WVAZ-FM, WTMX-FM",83528331,83528331
"10e29ec2-d023-4e08-967f-123b9fce8b63",1233,1233,"WISN-AM, WRNW-FM, WOKY-AM, WKKV-FM, WRIT-FM, WMIL-FM",71929373,71929373
"18cb3492-8a35-487a-96e1-a0113337f25a",231,231,WNDH-FM,5753688.0,5753688.0
"2b61069f-ab2a-4241-8045-cfc3b27afbb1",538,538,"WRVW-FM, WQQK-FM, WSM-FM, WUBT-FM, WSIX-FM",39432164,39432164
"56512900-98fb-4532-a24c-2341e59df642",1243,1243,"WKSI-FM, WFQX-FM, WMRE-AM, WUSQ-FM",16783502,16783502
"695da2da-d16c-4822-8495-0e2806ba229b",339,339,"WMIA-FM, WRTO-FM, WAMR-FM",269021286,269021286
"714dfb23-08a2-4b4f-b22d-8f4474859838",584,584,"WSSL-FM, WMYI-FM, WESC-FM, WROQ-FM, WORD-AM",46373589,46373589
"01d32564-7c4f-4f87-a071-e9647c280765",838,838,"WRIF-FM, WMGC-FM, WNIC-FM, WKQI-FM, WLLZ-FM",116656249,116656249
"03c650b0-61ab-4df0-9638-10ad17c1a963",610,610,"WCOL-FM, WZCB-FM, WXZX-FM, WODC-FM, WNCI-FM, WZCB-F2, WTVN-AM",29921043,29921043
"0ef08dfb-be16-4392-aff4-6690b0ebd95d",515,515,"KTLK-AM, KEEY-FM, KQQL-FM, KFXN-FM, KDWB-FM, KTCZ-FM, WGVX-FM, KQRS-FM, KXXR-FM",84463178,84463178
"35c1dc8e-98f0-4538-8edb-0ad74b124a45",615,615,"WZEE-FM, WIBA-FM, WMAD-FM, WXXM-FM, WTSO-AM",48953676,48953676
"91c5d212-84de-4a70-a22c-4e0dba611a41",570,570,"WRSO-AM, WMGS-FM, WRUM-FM, WEZX-FM, WOEX-FM, WRUM-F2, WZTU-FM, WBHT-FM, WBSX-FM, WAMR-FM, WRTO-FM, WXNY-FM",42834661,42834661
"9fd789d3-db13-4c14-b9a5-4cd38731581e",98,98,WTKK-FM,8529858.0,8529858.0
ad25c613-7d4c-455c-b7ab-b530e5c2df5f,2141,2141,"KBFP-FM, KRRL-FM, KRAB-FM, KPWR-FM, KFBT-FM, KMJ-AM, KSOF-FM, KIIS-FM, KYSR-FM, KLOS-FM, KDFO-FM, KMGV-FM, KSKS-FM, KMYT-FM, KQIE-FM, KFSO-FM, KBIG-FM, KHGE-FM, KCBL-AM, KBOS-FM, KRLA-AM, KALZ-FM, KTMQ-FM, KWYE-FM, KOST-FM, KPWK-AM, KEIB-AM, KFI-AM",287208400,287208400
e0dbd88e-45a5-4ccf-a456-829a18dbcf75,123,123,"WOOD-AM, WBCT-FM",4480784.0,4480784.0
eecccd1e-40dc-4d0b-bd49-93b487e68b4a,195,195,"WEND-FM, WHQC-FM, WKKT-FM, WRFX-FM, WLKO-FM",16847573,16847573
"0e949d92-754b-4f2c-afb3-f4f6282425e5",233,233,KGOR-FM,13295970,13295970
"5cfef592-5c08-44e3-b9d5-016878111bab",984,984,"KBEE-FM, KENZ-FM, KZHT-FM, KJMY-FM, KODJ-FM, KUBL-FM, KNRS-FM, KAAZ-FM, KKAT-AM, KBER-FM, KJMY-F2, KSOP-FM",157065186,157065186
"6c0a9292-a6c6-438d-9178-8db057b8e563",401,401,"WMAD-FM, WZEE-FM, WIBA-AM, WIBA-FM, WTSO-AM, WXXM-FM",29138289,29138289
"7ff61235-b38a-4e50-9871-ed67368440e1",418,418,"KXKL-FM, KDHT-FM, KIMN-FM, KYGO-FM, KHOW-AM, KBCO-FM, KRFX-FM, KOSI-FM, KWBL-FM, KDFD-AM, KKSE-FM, KOA-AM, KTCL-FM, KSRC-FM, KFCO-FM, KUVO-FM",42454506,42454506
ef9da6d1-21a9-4a60-9d18-cda58cb5c0b5,1664,1664,"WZRM-FM, WZLX-FM, WRKO-AM, WBWL-FM, WJMN-FM, WXKS-FM, WBZ-AM, WXKS-AM",372909184,372909184
"00397ed4-1378-4400-9ea4-820f3807077f",1151,1151,"KTOK-AM, KJYO-FM, KOKQ-FM, KXXY-FM, KTST-FM, KGHM-AM, WWLS-FM, KKWD-FM, KWPN-AM, KYIS-FM, KATT-FM",142983094,142983094
"13a82eb8-4af4-46f3-bbc5-ebb7384a9f42",1216,1216,"KABQ-FM, KTEG-FM, KBQI-FM, KZRR-FM, KPEK-FM",225731087,225731087
"20298fc3-ee93-4764-9a4a-fd7fd7ac0c47",368,368,"WCZR-FM, WZTA-AM, WQOL-FM, WAVW-FM",17966518,17966518
"22c92295-22c8-4931-b784-1f3b88ceeb2e",121,121,WDVE-FM,11143037,11143037
"72ffca91-8084-44eb-984f-d2559c848517",38065,38065,"KBCO-FM, KXJM-FM, KFYI-AM, KFBW-FM, KGME-AM, KCCY-FM, KBPI-FM, KWBL-FM, KNIX-FM, WDIA-AM, WIMT-FM, WOR-AM, WMXD-FM, WMRN-AM, WZDA-FM, WFNN-AM, WZRX-FM, WREC-AM, KSEZ-FM, WSPD-AM, WNNJ-FM, WOC-AM, WCOL-FM, WWFG-FM, WCKY-FM, WSAI-AM, WGIR-AM, WOLT-FM, WXTK-FM, WRAW-AM, WJBO-AM, KWNW-FM, WHUC-AM, WHTK-AM, WFXN-AM, WACL-FM, WRNX-FM, WGIR-FM, KRFX-FM, WBUL-F2, WNRQ-FM, WSIX-FM, KOA-AM, WWTF-AM, WMRE-AM, WWSW-FM, WCWA-AM, WCHI-FM, WUSQ-FM, WNIO-AM, WMRN-FM, WBNW-FM, WXBB-FM, WJET-AM, WLLR-FM, KCQQ-FM, WTUE-FM, KPAW-FM, WRNO-FM, WOLT-F2, WKKJ-FM, KOHT-FM, WKCY-FM, WJDY-AM, KHUD-FM, WNOE-FM, KUBE-AM, WARF-AM, WHLO-AM, WUSL-FM, WRWD-FM, WZCB-F2, WNUS-FM, WLW-AM, WBBD-AM, WUBT-FM, WPOC-FM, WPGB-FM, WROV-FM, WIMA-AM, WQMF-FM, WKIP-AM, WRWB-FM, WENE-AM, KCOL-AM, WAXQ-FM, WXDX-FM, WTAG-AM, WBFX-FM, WYNK-FM, WZOM-FM, WNCD-FM, WFQX-FM, WSBY-FM, WWDC-F2, WHAM-AM, WELI-AM, WBBG-FM, WNBL-FM, WKQQ-FM, WKCY-AM, WIOT-FM, KPOJ-AM, WDAS-AM, WRFF-FM, KXIC-AM, WNDE-AM, WTGM-AM, WTBU-FM, WBIG-FM, WMMS-FM, WBBS-FM, WVHU-AM, WAEB-AM, WEGW-FM, WLTP-AM, WBBI-FM, WAIO-FM, KTZR-AM, WPOP-AM, KNST-AM, WPKX-AM, WSYR-AM, WYYD-FM, WWVA-AM, WLAC-AM, WRQK-FM, WTKT-AM, KZSN-FM, WBWL-FM, WBWZ-FM, WRVE-F2, WGAR-FM, WKBN-AM, KYOT-FM, WOVK-FM, WRNO-F2, WHO-AM, KJMS-FM, WAMX-FM, WTCR-FM, KKSY-FM, WKJK-AM, KKRQ-FM, KBPL-FM, WGY-AM, KDRB-FM, WWPR-FM, KHOW-AM, WKRC-AM, WLAP-AM, WRBT-FM, WHAS-AM, WZLX-FM, WAMZ-FM, KTHR-FM, WWYZ-FM, WHYN-AM, WHKF-FM, WBYL-FM, WOFX-AM, WWDC-FM, WSAN-AM, WQSO-FM, WDVE-FM, WHP-AM, WAKZ-FM, WMT-AM, WDAS-FM, WHLK-FM, WHEB-FM, WODC-FM, WLLZ-FM, WKDW-AM, WPYX-FM, WRKT-FM, WZCB-FM, KIIX-AM, WLKT-F2, WZRL-FM, WFBQ-FM, WTFX-FM, WBUL-FM, WHEN-AM, WJLB-FM, WSTV-FM, KXBG-FM, KXNO-AM, WXKS-AM, WMZQ-FM, WTKG-AM, WMXW-FM, WOOD-AM, WHBT-FM, KTCL-FM, WTWF-FM, WHRK-FM, WKGB-FM, WGCI-FM, WQSR-FM, WONE-AM, WMRR-FM, WMAX-FM, WBCT-FM, WVAZ-FM, WEBN-FM, WTAM-AM, WMUS-FM, WQUE-FM, WKRD-AM, KMXG-FM, WXZX-FM, WTVN-AM, WYLD-FM, WOWI-FM, WZZO-FM, WMJI-FM, WONW-AM, WKCI-F2, WINR-AM, WVKS-F2, KASI-AM, WTTH-FM, WZXL-FM, WBZ-AM, WAKS-F2, WKKT-FM, WRFX-FM, WLKO-FM, WWNC-AM, WEND-FM, WDCG-F2, WQNQ-F2, WKSF-F2, WKSF-FM, WNCB-FM, WRDU-FM, WQNS-FM, WVBZ-FM, WPTI-FM, WTQR-FM, WKBZ-AM, WBEX-AM",2081626829,2081626829
"87bf043f-43c8-45ce-91e9-7f157aeb53d2",86,86,WRVF-FM,2157633.0,2157633.0
cd9ab11f-ed7e-43ca-bafb-fa583ab49219,212,212,"WAIO-FM, WVOR-FM, WKGS-FM, WHAM-AM, WHTK-AM, WDVI-FM, WNBL-FM",12712869,12712869
d06774c4-56dc-4815-8ef9-6324dae9b4a6,877,877,"WRKH-FM, WKSJ-FM, WMXC-FM, WNTM-AM, WABD-FM, WRKH-F2, WBLX-FM, WDLT-FM",43009715,43009715
